,Movie,Score,Year,Director,Cast,Link
109,Taxi Driver,8.2,1976,Martin Scorsese,"Robert De Niro, Jodie Foster",https://imbd.com/title/tt0075314/
110,Up,8.2,2009,Pete Docter,"Edward Asner, Jordan Nagai",https://imbd.com/title/tt1049413/
111,L.A. Confidential,8.2,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe",https://imbd.com/title/tt0119488/
112,Heat,8.2,1995,Michael Mann,"Al Pacino, Robert De Niro",https://imbd.com/title/tt0113277/
113,Metrópolis,8.2,1927,Fritz Lang,"Brigitte Helm, Alfred Abel",https://imbd.com/title/tt0017136/
114,"Nader y Simin, una separación",8.2,2011,Asghar Farhadi,"Payman Maadi, Leila Hatami",https://imbd.com/title/tt1832382/
115,Incendios,8.2,2010,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",https://imbd.com/title/tt1255953/
116,Jungla de cristal,8.2,1988,John McTiernan,"Bruce Willis, Alan Rickman",https://imbd.com/title/tt0095016/
117,"Snatch, cerdos y diamantes",8.2,2000,Guy Ritchie,"Jason Statham, Brad Pitt",https://imbd.com/title/tt0208092/
118,Hamilton,8.2,2020,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo",https://imbd.com/title/tt8503618/
119,Indiana Jones y la última cruzada,8.2,1989,Steven Spielberg,"Harrison Ford, Sean Connery",https://imbd.com/title/tt0097576/
120,Ladrón de bicicletas,8.2,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",https://imbd.com/title/tt0040522/
121,1917,8.2,2019,Sam Mendes,"Dean-Charles Chapman, George MacKay",https://imbd.com/title/tt8579674/
122,Taare Zameen Par,8.2,2007,Aamir Khan,"Darsheel Safary, Aamir Khan",https://imbd.com/title/tt0986264/
123,El hundimiento,8.2,2004,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",https://imbd.com/title/tt0363163/
124,La muerte tenía un precio,8.2,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef",https://imbd.com/title/tt0059578/
125,Batman Begins,8.2,2005,Christopher Nolan,"Christian Bale, Michael Caine",https://imbd.com/title/tt0372784/
126,Dangal,8.2,2016,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar",https://imbd.com/title/tt5074352/
127,El chico,8.2,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance",https://imbd.com/title/tt0012349/
128,Con faldas y a lo loco,8.2,1959,Billy Wilder,"Marilyn Monroe, Tony Curtis",https://imbd.com/title/tt0053291/
129,Spider-Man: No Way Home,8.2,2021,Jon Watts,"Tom Holland, Zendaya",https://imbd.com/title/tt10872600/
130,Eva al desnudo,8.2,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",https://imbd.com/title/tt0042192/
131,El padre,8.2,2020,Florian Zeller,"Anthony Hopkins, Olivia Colman",https://imbd.com/title/tt10272386/
132,Green Book,8.2,2018,Peter Farrelly,"Viggo Mortensen, Mahershala Ali",https://imbd.com/title/tt6966692/
133,El lobo de Wall Street,8.2,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",https://imbd.com/title/tt0993846/
